,Conventional_total_cost,Efficient_total_cost,Alternative_total_cost
2025,264.0,301.0,333.0
2026,267.62999999999994,301.14500000000004,320.81
2027,271.7169,301.77115,309.5659
2028,276.295353,302.9072855,299.247173
2029,281.40280053,304.584739135,289.83644899
2030,287.0796954561,306.83753650895,281.3195275732999
2031,293.369742613365,309.7026077737615,273.685403589763
2032,300.3201586915103,313.2200162113439,266.926306179613
2033,307.9819529135477,317.4332051772992,261.0377517935522
2034,316.4102301707464,322.38926487363346,256.01861172391284
2035,325.6645184103311,328.13922053525954,251.8711948045799
2036,335.80912221605365,334.73834374188675,248.6013460049353
2037,346.9135046769902,342.24648870384135,246.2185617254994
2038,359.0526998075397,350.72845551828476,244.73612269074894
2039,372.30775796264254,360.2543825520352,244.17124542825812
2040,386.7662268877597,370.90017027972993,244.54525342336703
