,Conventional,Efficient,Alternative,total
2025,2368.8,1212.75,96.6,3678.15
2026,2420.2249313277543,1274.759520187503,144.27880287819602,3839.2632543934533
2027,2470.899407358811,1336.1186847874858,192.29071682715926,3999.3088089734565
2028,2520.8391142287032,1396.8699174147137,240.6498658550761,4158.358897498493
2029,2570.0627950895155,1457.0564295655856,289.3678045069296,4316.48702916203
2030,2618.5925829424214,1516.72220626966,338.4533871661517,4473.768176378233
2031,2666.454296508387,1575.9119660651586,387.9126692605182,4630.278931834064
2032,2713.6776859131814,1634.6710938267029,437.7488476787138,4786.097627418599
2033,2760.296615364188,1693.0455459212915,487.96224697882684,4941.3044082643055
2034,2806.3491712031287,1751.0817282838527,538.5503567573201,5095.981256244302
2035,2851.877685759906,1808.8263492277317,589.5079238653809,5250.211958853019
2036,2896.928670263108,1866.3262500600488,640.8271010746688,5404.082021397825
2037,2941.552653556628,1923.6282177653736,692.4976514188927,5557.678522740895
2038,2985.8039273267004,1980.778785057577,744.5072049241198,5711.089917308397
2039,3029.7402026948007,2037.8240238889102,796.8415619689946,5864.405788552705
2040,3073.422187077472,2094.8093389741457,849.4850352745815,6017.716561326199
