,Europe_Maturity,Europe_Regulatory,Europe_Price_Sensitivity,North_America_Maturity,North_America_Regulatory,North_America_Price_Sensitivity,Asia_Maturity,Asia_Regulatory,Asia_Price_Sensitivity,Other_Maturity,Other_Regulatory,Other_Price_Sensitivity
2025,0.8,0.9,0.7,0.7,0.8,0.8,0.6,0.6,0.9,0.5,0.5,0.95
2026,0.8640000000000001,0.9900000000000001,0.6859999999999999,0.756,0.8800000000000001,0.784,0.648,0.66,0.882,0.54,0.55,0.9309999999999999
2027,0.9331200000000002,1.0,0.6722799999999999,0.81648,0.9680000000000002,0.76832,0.69984,0.7260000000000001,0.8643599999999999,0.5832,0.6050000000000001,0.9123799999999999
2028,1.0,1.0,0.6588343999999999,0.8817984000000001,1.0,0.7529536,0.7558272,0.7986000000000002,0.8470728,0.6298560000000001,0.6655000000000002,0.8941323999999998
2029,1.0,1.0,0.6456577119999999,0.9523422720000001,1.0,0.737894528,0.8162933760000002,0.8784600000000002,0.8301313439999999,0.6802444800000002,0.7320500000000002,0.8762497519999999
2030,1.0,1.0,0.6327445577599999,1.0,1.0,0.72313663744,0.8815968460800003,0.9663060000000003,0.81352871712,0.7346640384000003,0.8052550000000003,0.8587247569599998
2031,1.0,1.0,0.6200896666047999,1.0,1.0,0.7086739046912,0.9521245937664002,1.0,0.7972581427776,0.7934371614720003,0.8857805000000004,0.8415502618207998
2032,1.0,1.0,0.6076878732727039,1.0,1.0,0.694500426597376,1.0,1.0,0.781312979922048,0.8569121343897604,0.9743585500000006,0.8247192565843839
2033,1.0,1.0,0.5955341158072498,1.0,1.0,0.6806104180654284,1.0,1.0,0.765686720323607,0.9254651051409413,1.0,0.8082248714526962
2034,1.0,1.0,0.5836234334911048,1.0,1.0,0.6669982097041198,1.0,1.0,0.7503729859171349,0.9995023135522166,1.0,0.7920603740236423
2035,1.0,1.0,0.5719509648212826,1.0,1.0,0.6536582455100374,1.0,1.0,0.735365526198792,1.0,1.0,0.7762191665431694
2036,1.0,1.0,0.5605119455248571,1.0,1.0,0.6405850805998368,1.0,1.0,0.7206582156748162,1.0,1.0,0.760694783212306
2037,1.0,1.0,0.5493017066143598,1.0,1.0,0.6277733789878399,1.0,1.0,0.7062450513613199,1.0,1.0,0.7454808875480599
2038,1.0,1.0,0.5383156724820726,1.0,1.0,0.6152179114080831,1.0,1.0,0.6921201503340935,1.0,1.0,0.7305712697970985
2039,1.0,1.0,0.5275493590324312,1.0,1.0,0.6029135531799215,1.0,1.0,0.6782777473274115,1.0,1.0,0.7159598444011566
2040,1.0,1.0,0.5169983718517827,1.0,1.0,0.590855282116323,1.0,1.0,0.6647121923808634,1.0,1.0,0.7016406475131336
