,BF-BOF,EAF,H2-DRI,total
2025,2394.0,142.5,9.5,2546.0
2026,2436.6411839373695,160.51099373892382,14.617380757171516,2611.7695584334647
2027,2478.7410529925846,178.34750324609237,19.79240597393668,2676.8809622126137
2028,2520.264970417539,196.02491315118178,25.03057199418722,2741.320455562908
2029,2561.1754076687885,213.55873000176925,30.3373805088208,2805.0715181793785
2030,2601.4319135547707,230.96461984463718,35.71833439822229,2868.1148677976303
2031,2640.991114336035,248.25844546574442,41.178931824604064,2930.4284916263837
2032,2679.80675212025,265.45630275207236,46.724658350976085,2991.9877132232987
2033,2717.82976951516,282.5745555200804,52.36097686832935,3052.76530190357
2034,2755.0084489671317,299.6298680311103,58.093315128131906,3112.731632126374
2035,2791.2886154470007,316.6392342885858,63.9270507059219,3171.854900441508
2036,2826.6139110657973,333.62000309182326,69.86749326605032,3230.1014074236705
2037,2860.926149721579,350.5898977151122,75.9198640596225,3287.4359114963136
2038,2894.16575890533,367.56702899863706,82.08927266899197,3343.8220605729593
2039,2926.272314246071,384.5699005915241,88.38069111345469,3399.2229059510496
2040,2957.1851701873684,401.6174050895538,94.79892555147782,3453.6015008284
