,BF-BOF,EAF,H2-DRI
2025,1330.0,475.0,95.0
2026,1353.689546631872,535.0366457964127,146.17380757171514
2027,1377.078362773658,594.4916774869746,197.9240597393668
2028,1400.1472057875217,653.416377170606,250.30571994187218
2029,1422.8752264826603,711.8624333392308,303.373805088208
2030,1445.2399519748726,769.8820661487906,357.1833439822229
2031,1467.2172857422418,827.5281515524814,411.7893182460406
2032,1488.7815289556945,884.854342506908,467.2465835097608
2033,1509.9054275084222,941.9151850669348,523.6097686832935
2034,1530.5602494261843,998.7662267703677,580.933151281319
2035,1550.7158974705558,1055.464114295286,639.270507059219
2036,1570.3410617032207,1112.0666769727443,698.6749326605031
2037,1589.4034165119883,1168.6329923837075,759.1986405962249
2038,1607.8698660585167,1225.2234299954569,820.8927266899196
2039,1625.7068412478172,1281.8996686384137,883.8069111345468
2040,1642.8806501040935,1338.7246836318461,947.9892555147782
